Id,Label,timeset,degree,modularity_class,vote_average0
786,786,,0,166,6.0
787,787,,0,167,7.0
788,788,,0,168,7.0
789,789,,2,499,5.0
790,790,,1,722,7.0
791,791,,0,169,6.0
792,792,,0,170,7.0
793,793,,0,171,4.0
794,794,,2,1103,6.0
795,795,,3,505,6.0
796,796,,20,668,5.0
797,797,,1,350,5.0
798,798,,1,505,6.0
799,799,,3,242,6.0
800,800,,1,1174,6.0
801,801,,1,993,7.0
802,802,,6,1195,6.0
803,803,,1,103,6.0
804,804,,0,172,6.0
805,805,,0,173,5.0
806,806,,1,993,6.0
807,807,,1,690,6.0
808,808,,0,174,6.0
809,809,,1,175,8.0
810,810,,3,909,6.0
811,811,,8,505,7.0
812,812,,0,176,7.0
813,813,,4,189,7.0
814,814,,2,1187,5.0
815,815,,1,1079,6.0
816,816,,1,139,5.0
817,817,,8,1025,6.0
818,818,,1,928,8.0
819,819,,10,1246,6.0
820,820,,0,177,6.0
821,821,,1,434,7.0
822,822,,2,864,6.0
823,823,,4,64,7.0
824,824,,2,1079,8.0
825,825,,0,178,6.0
826,826,,1,909,6.0
827,827,,1,1079,6.0
828,828,,3,139,8.0
829,829,,4,1671,6.0
830,830,,4,139,8.0
831,831,,1,1162,6.0
832,832,,0,179,6.0
833,833,,4,1162,6.0
834,834,,0,180,6.0
835,835,,3,949,6.0
836,836,,1,489,6.0
837,837,,0,181,6.0
838,838,,2,505,6.0
839,839,,1,139,6.0
840,840,,4,1036,7.0
841,841,,0,182,6.0
842,842,,9,855,7.0
843,843,,4,505,5.0
844,844,,0,183,6.0
845,845,,1,1103,6.0
846,846,,2,505,5.0
847,847,,8,1195,5.0
848,848,,1,499,6.0
849,849,,2,1162,7.0
850,850,,2,1079,5.0
851,851,,4,1195,6.0
852,852,,0,184,7.0
853,853,,7,25,7.0
854,854,,1,505,5.0
855,855,,1,505,6.0
856,856,,0,185,5.0
857,857,,2,873,6.0
858,858,,2,505,6.0
859,859,,0,186,4.0
860,860,,1,1079,7.0
861,861,,2,323,7.0
862,862,,0,187,7.0
863,863,,4,505,5.0
864,864,,3,1063,6.0
865,865,,5,1079,8.0
866,866,,0,188,5.0
867,867,,4,1195,7.0
868,868,,5,505,6.0
869,869,,5,499,5.0
870,870,,4,189,7.0
871,871,,1,64,4.0
872,872,,9,499,6.0
873,873,,4,1195,6.0
874,874,,5,909,7.0
875,875,,3,855,7.0
876,876,,2,139,5.0
877,877,,0,190,6.0
878,878,,1,1079,7.0
879,879,,1,98,7.0
880,880,,2,314,7.0
881,881,,3,909,6.0
882,882,,1,505,5.0
883,883,,4,1079,8.0
884,884,,1,928,7.0
885,885,,12,505,6.0
886,886,,2,25,6.0
887,887,,6,1192,6.0
888,888,,1,1213,5.0
889,889,,9,1012,7.0
890,890,,2,949,6.0
891,891,,2,139,7.0
892,892,,4,993,8.0
893,893,,0,191,6.0
894,894,,0,192,5.0
895,895,,3,505,6.0
896,896,,1,1568,5.0
897,897,,0,193,5.0
898,898,,3,122,6.0
899,899,,3,505,7.0
900,900,,0,194,7.0
901,901,,3,1079,7.0
902,902,,1,540,7.0
903,903,,5,1246,6.0
904,904,,1,409,7.0
905,905,,2,924,7.0
906,906,,15,505,6.0
907,907,,17,668,6.0
908,908,,0,195,7.0
909,909,,1,64,7.0
910,910,,4,505,6.0
911,911,,3,1195,7.0
912,912,,2,993,7.0
913,913,,2,505,6.0
914,914,,1,98,6.0
915,915,,0,196,7.0
916,916,,1,1246,6.0
917,917,,4,25,6.0
918,918,,2,139,7.0
919,919,,2,909,7.0
920,920,,1,1108,5.0
921,921,,0,197,7.0
922,922,,1,909,6.0
923,923,,3,1079,6.0
924,924,,1,198,5.0
925,925,,4,1246,7.0
926,926,,2,98,5.0
927,927,,3,1096,5.0
928,928,,2,1079,7.0
929,929,,4,1103,6.0
930,930,,2,98,7.0
931,931,,2,619,6.0
932,932,,0,199,8.0
933,933,,1,1162,6.0
934,934,,4,1195,6.0
935,935,,2,1079,5.0
936,936,,0,200,6.0
937,937,,0,201,6.0
938,938,,2,864,6.0
939,939,,0,202,6.0
940,940,,7,64,6.0
941,941,,0,203,7.0
942,942,,3,949,7.0
943,943,,1,1079,6.0
944,944,,7,1568,6.0
945,945,,1,949,6.0
946,946,,1,727,8.0
947,947,,1,706,6.0
948,948,,4,505,6.0
949,949,,8,1025,6.0
950,950,,8,909,7.0
951,951,,0,204,6.0
952,952,,2,873,6.0
953,953,,1,1093,6.0
954,954,,3,505,7.0
955,955,,1,205,6.0
956,956,,3,242,6.0
957,957,,6,855,6.0
958,958,,2,909,6.0
